base_dphires,base_rhores,base_vres,bmax_over_aH,condition,density_g_cc,dphires,force_n,relative_error_vs_largest_bmax,resolution_scale_factor,resolution_scale_per_decade,resolution_scale_reference_bmax_over_aH,rhores,temperature_K,velocity_cm_s,velocity_index,velocity_m_s,vres
360,360,101,10.0,0,1e-05,810,9.581344346730468e-14,7.09103841650176e-05,2.25,1.5,0.1,810,5000.0,251188.6431509582,2,2511.886431509582,228
360,360,101,10.0,0,1e-05,810,1.4103773370401021e-13,7.002397246042199e-05,2.25,1.5,0.1,810,5000.0,398107.1705534969,3,3981.071705534969,228
360,360,101,10.0,0,1e-05,810,1.863400105286908e-13,6.55685709506671e-05,2.25,1.5,0.1,810,5000.0,630957.344480193,4,6309.57344480193,228
360,360,101,10.0,0,1e-05,810,1.9157159113787043e-13,5.6303413752044134e-05,2.25,1.5,0.1,810,5000.0,1000000.0,5,10000.0,228
360,360,101,10.0,0,1e-05,810,1.2092662891803944e-13,3.4634068984698265e-05,2.25,1.5,0.1,810,5000.0,1584893.1924611141,6,15848.93192461114,228
360,360,101,10.0,0,1e-05,810,4.7852838912240315e-14,5.793625024827714e-05,2.25,1.5,0.1,810,5000.0,2511886.4315095823,7,25118.864315095823,228
360,360,101,10.0,0,1e-05,810,1.9537183426782967e-14,8.106661394669682e-06,2.25,1.5,0.1,810,5000.0,3981071.705534969,8,39810.71705534969,228
360,360,101,10.0,0,1e-05,810,8.485899793311682e-15,5.286295515842358e-05,2.25,1.5,0.1,810,5000.0,6309573.444801929,9,63095.73444801929,228
360,360,101,10.0,0,1e-05,810,3.7236616929073665e-15,0.0017265002868688786,2.25,1.5,0.1,810,5000.0,10000000.0,10,100000.0,228
360,360,101,10.0,0,1e-05,810,1.6306386278972852e-15,0.020508327772965674,2.25,1.5,0.1,810,5000.0,15848931.924611142,11,158489.3192461114,228
360,360,101,10.0,0,1e-05,810,7.103466108944835e-16,0.06446046485877589,2.25,1.5,0.1,810,5000.0,25118864.315095823,12,251188.64315095823,228
360,360,101,10.0,0,1e-05,810,3.078111934911781e-16,0.023344639558890944,2.25,1.5,0.1,810,5000.0,39810717.05534969,13,398107.1705534969,228
360,360,101,10.0,0,1e-05,810,1.3290096346993833e-16,0.3504680044875138,2.25,1.5,0.1,810,5000.0,63095734.44801943,14,630957.3444801943,228
360,360,101,10.0,0,1e-05,810,5.740667304160269e-17,0.8049750540946644,2.25,1.5,0.1,810,5000.0,100000000.0,15,1000000.0,228
360,360,101,100.0,0,1e-05,1215,3.9762235264661705e-14,3.281210695264354e-07,3.375,1.5,0.1,1215,5000.0,100000.0,0,1000.0,341
360,360,101,100.0,0,1e-05,1215,6.227744359912335e-14,7.31267047364307e-07,3.375,1.5,0.1,1215,5000.0,158489.3192461114,1,1584.893192461114,341
360,360,101,100.0,0,1e-05,1215,9.582035176480921e-14,1.1860501611309902e-06,3.375,1.5,0.1,1215,5000.0,251188.6431509582,2,2511.886431509582,341
360,360,101,100.0,0,1e-05,1215,1.4104770783565404e-13,6.906721497990747e-07,3.375,1.5,0.1,1215,5000.0,398107.1705534969,3,3981.071705534969,341
360,360,101,100.0,0,1e-05,1215,1.8635245844984934e-13,1.229240913937476e-06,3.375,1.5,0.1,1215,5000.0,630957.344480193,4,6309.57344480193,341
360,360,101,100.0,0,1e-05,1215,1.9158270906251985e-13,1.7286702656358474e-06,3.375,1.5,0.1,1215,5000.0,1000000.0,5,10000.0,341
360,360,101,100.0,0,1e-05,1215,1.2093098311322012e-13,1.3716016946526466e-06,3.375,1.5,0.1,1215,5000.0,1584893.1924611141,6,15848.93192461114,341
360,360,101,100.0,0,1e-05,1215,4.785488911939119e-14,1.509472995057713e-05,3.375,1.5,0.1,1215,5000.0,2511886.4315095823,7,25118.864315095823,341
360,360,101,100.0,0,1e-05,1215,1.953715794024069e-14,6.80213615519861e-06,3.375,1.5,0.1,1215,5000.0,3981071.705534969,8,39810.71705534969,341
360,360,101,100.0,0,1e-05,1215,8.485708860992876e-15,3.036181600950498e-05,3.375,1.5,0.1,1215,5000.0,6309573.444801929,9,63095.73444801929,341
360,360,101,100.0,0,1e-05,1215,3.723415569647319e-15,0.0016602890646206494,3.375,1.5,0.1,1215,5000.0,10000000.0,10,100000.0,341
360,360,101,100.0,0,1e-05,1215,1.630383808956532e-15,0.02034885353590053,3.375,1.5,0.1,1215,5000.0,15848931.924611142,11,158489.3192461114,341
360,360,101,100.0,0,1e-05,1215,7.101199553929947e-16,0.06412081965349546,3.375,1.5,0.1,1215,5000.0,25118864.315095823,12,251188.64315095823,341
360,360,101,100.0,0,1e-05,1215,3.076746310478394e-16,0.022890626035956048,3.375,1.5,0.1,1215,5000.0,39810717.05534969,13,398107.1705534969,341
360,360,101,100.0,0,1e-05,1215,1.3299308323120598e-16,0.3500177840316189,3.375,1.5,0.1,1215,5000.0,63095734.44801943,14,630957.3444801943,341
360,360,101,100.0,0,1e-05,1215,5.801963849195388e-17,0.8028926558739915,3.375,1.5,0.1,1215,5000.0,100000000.0,15,1000000.0,341
360,360,101,1000.0,0,1e-05,1823,3.9762231676431624e-14,2.3787887779500423e-07,5.0625,1.5,0.1,1823,5000.0,100000.0,0,1000.0,512
360,360,101,1000.0,0,1e-05,1823,6.227742790888159e-14,4.793258576435008e-07,5.0625,1.5,0.1,1823,5000.0,158489.3192461114,1,1584.893192461114,512
360,360,101,1000.0,0,1e-05,1823,9.582029306896933e-14,5.734881279499799e-07,5.0625,1.5,0.1,1823,5000.0,251188.6431509582,2,2511.886431509582,512
360,360,101,1000.0,0,1e-05,1823,1.410476208317731e-13,7.383163278480151e-08,5.0625,1.5,0.1,1823,5000.0,398107.1705534969,3,3981.071705534969,512
360,360,101,1000.0,0,1e-05,1823,1.8635229084347607e-13,3.2983459166746986e-07,5.0625,1.5,0.1,1823,5000.0,630957.344480193,4,6309.57344480193,512
360,360,101,1000.0,0,1e-05,1823,1.9158244470010445e-13,3.487812678792897e-07,5.0625,1.5,0.1,1823,5000.0,1000000.0,5,10000.0,512
360,360,101,1000.0,0,1e-05,1823,1.2093102470885008e-13,1.7155638947219535e-06,5.0625,1.5,0.1,1823,5000.0,1584893.1924611141,6,15848.93192461114,512
360,360,101,1000.0,0,1e-05,1823,4.785563946320072e-14,5.845976395602448e-07,5.0625,1.5,0.1,1823,5000.0,2511886.4315095823,7,25118.864315095823,512
