dphires,force_n,relative_error,rhomax_fraction,rhores,test_type,test_value,velocity_cm_s,velocity_index,vres
300,6.827396304988772e-15,0.8282991686136959,0.14634914460314025,300,bmax_over_screening_length,0.1,100000.0,0,100
300,1.0747765241633961e-14,0.8274259623479118,0.14634914460314025,300,bmax_over_screening_length,0.1,158489.3192461114,1,100
300,1.674803669783523e-14,0.8252195270716771,0.14634914460314025,300,bmax_over_screening_length,0.1,251188.6431509582,2,100
300,2.5445308476459403e-14,0.8196033579312504,0.14634914460314025,300,bmax_over_screening_length,0.1,398107.1705534969,3,100
300,3.633615425212779e-14,0.8050214569376493,0.14634914460314025,300,bmax_over_screening_length,0.1,630957.344480193,4,100
300,4.4872881158699725e-14,0.7657941607863911,0.14634914460314025,300,bmax_over_screening_length,0.1,1000000.0,5,100
300,4.1110218571576874e-14,0.6601244219851402,0.14634914460314025,300,bmax_over_screening_length,0.1,1584893.1924611141,6,100
300,2.500273387133142e-14,0.4780875673500876,0.14634914460314025,300,bmax_over_screening_length,0.1,2511886.4315095823,7,100
300,1.225667263518561e-14,0.376120435065997,0.14634914460314025,300,bmax_over_screening_length,0.1,3981071.705534969,8,100
300,5.77917984926042e-15,0.33877707822349995,0.14634914460314025,300,bmax_over_screening_length,0.1,6309573.444801929,9,100
300,2.6734358221990128e-15,0.3845370521889399,0.14634914460314025,300,bmax_over_screening_length,0.1,10000000.0,10,100
300,1.2164856076676532e-15,0.6162333923760008,0.14634914460314025,300,bmax_over_screening_length,0.1,15848931.924611142,11,100
300,5.45747045787027e-16,0.8802551578277947,0.14634914460314025,300,bmax_over_screening_length,0.1,25118864.315095823,12,100
300,2.419610244928136e-16,0.9756837449432632,0.14634914460314025,300,bmax_over_screening_length,0.1,39810717.05534969,13,100
300,1.0625529458622744e-16,0.9956346499267805,0.14634914460314025,300,bmax_over_screening_length,0.1,63095734.44801943,14,100
300,4.632582208370255e-17,0.9992388191602636,0.14634914460314025,300,bmax_over_screening_length,0.1,100000000.0,15,100
