at_upper_bound,best_bmax_over_aH,best_bmax_over_aH_sigma,best_bmax_over_debye_length,best_bmax_over_debye_length_sigma,condition,converged,debye_length_m,hydrogen_spacing_m,method,n_function_evals,n_points,reduced_chi2,resolution_rhores_dphires,vres
False,0.23400025288325618,0.030532309557607884,0.16011026019402308,0.02089115702807368,0,True,4.996595824096204e-09,3.4188264654548866e-09,vectorized,6,6,13.19277543299086,360,101
False,0.8074570409850043,0.015106583189698779,nan,nan,1,True,7.839304494954697e-12,7.3656383363751e-11,vectorized,5,10,1.6162530164554927,360,101
False,0.804833517427122,0.06759279713726332,0.2968761956144667,0.024932724632542654,2,True,9.268463320104965e-09,3.4188264654548866e-09,vectorized,6,7,4.654893320216346,360,101
False,1.4564226406184035,0.08374750659409676,nan,nan,3,True,3.427636457445867e-11,7.3656383363751e-11,vectorized,6,8,2.085247506640075,360,101
