time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
1.606027e-15,29991130.993670776,19655.114017867676
1.62208727e-13,29991120.587773148,19653.970836143744
3.22811427e-13,29991123.251031928,19651.65621822481
4.83414127e-13,29991129.392477408,19653.902828381564
6.44016827e-13,29991124.628337767,19652.658035984034
8.04619527e-13,29991121.970444366,19650.963931717084
9.65222227e-13,29991130.438446704,19650.82329671392
1.125824927e-12,29991132.2133564,19653.889726661004
1.286427627e-12,29991124.825351235,19654.272885809325
1.447030327e-12,29991124.461775262,19654.040320322903
1.607633027e-12,29991113.033205476,19655.82705133439
1.768235727e-12,29991108.66309278,19654.519917288028
1.928838427e-12,29991130.49040635,19653.111209904444
2.089441127e-12,29991127.30595138,19652.42285613013
2.250043827e-12,29991127.92565431,19654.36738623493
2.410646527e-12,29991133.766214225,19653.908866446567
2.571249227e-12,29991112.195027594,19654.6579147918
2.731851927e-12,29991134.747704666,19654.59292326386
2.892454627e-12,29991127.130446598,19655.46536246424
3.053057327e-12,29991122.926896397,19654.397056605747
3.213660027e-12,29991128.210443784,19653.342169122272
3.374262727e-12,29991123.707796454,19654.778568049453
3.534865427e-12,29991119.377077002,19655.19637606532
3.695468127e-12,29991118.69110677,19651.866211149943
3.856070827e-12,29991120.727508787,19653.67030712057
4.016673527e-12,29991123.122121412,19655.893895217174
4.177276227e-12,29991113.85891135,19656.322439795687
4.337878927e-12,29991114.582486387,19655.06039225263
4.498481627e-12,29991104.568827245,19656.468613895337
4.659084327e-12,29991119.96811742,19655.42286074954
4.819687027e-12,29991126.9262793,19654.390422198885
4.980289727e-12,29991096.883513406,19652.32536752128
5.140892427e-12,29991117.69888558,19654.47904308327
5.301495127e-12,29991120.851101123,19654.87608326211
5.462097827e-12,29991114.582486387,19655.647234141
5.622700527e-12,29991111.20280641,19655.11323097295
5.783303227e-12,29991125.22121382,19655.005961092767
5.943905927e-12,29991115.469047014,19655.447332022206
6.104508627e-12,29991111.955043957,19653.290045354337
6.265111327e-12,29991123.31198105,19655.665146740488
6.425714027e-12,29991117.797392316,19655.281916813638
6.586316727e-12,29991102.72765024,19655.897422930873
6.746919427e-12,29991116.42008648,19656.424858048293
6.907522127e-12,29991121.99557715,19656.568009125527
7.068124827e-12,29991129.578807335,19656.73088441204
7.228727527e-12,29991112.73594401,19658.236467293114
7.389330227e-12,29991135.55369031,19656.189428525053
7.549932927e-12,29991130.069552552,19655.427849159285
7.710535627e-12,29991112.370579578,19658.638723481447
7.871138327e-12,29991123.301250312,19656.66367236401
