time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
5.9396424e-18,30005686.81030752,3914.5709782697672
5.999038824e-16,29978585.213497914,5792.874671785854
1.1938681224e-15,29950591.45829851,7143.495284766772
1.7878323623999997e-15,29931848.298051927,7725.044184529357
2.3817966024e-15,29905497.427476164,8617.122667148149
2.9757608424e-15,29888511.007840026,9375.429776744157
3.5697250823999995e-15,29864721.637565315,9997.838768376663
4.1636893223999994e-15,29844462.990089826,10346.294358654075
4.7576535624e-15,29826476.78999128,10668.150613519841
5.3516178024e-15,29805011.27551287,11133.893506735489
5.9455820424e-15,29780727.665824063,11734.495340461046
6.5395462824e-15,29759222.61486496,12012.51533401952
7.1335105224e-15,29738651.082868762,12539.739847412326
7.7274747624e-15,29714361.045241706,13001.148078113656
8.3214390024e-15,29690873.730995238,13413.127669144456
8.9154032424e-15,29670314.732218515,13718.195010332203
9.5093674824e-15,29648968.855227992,14295.386779898801
1.01033317224e-14,29627310.409667052,14544.575021364237
1.06972959624e-14,29605368.22497565,14783.271070462213
1.12912602024e-14,29589179.919618323,14979.165717398831
1.1885224442399999e-14,29565146.138264228,15451.399855098001
1.2479188682399999e-14,29543857.59966571,15784.624580828784
1.3073152922399999e-14,29522629.176171992,16062.694653229624
1.3667117162399999e-14,29496848.44621238,16475.063312362443
1.42610814024e-14,29470968.654105544,17003.92535867234
1.48550456424e-14,29450296.18692539,17241.078974598156
1.54490098824e-14,29422484.096650124,17555.121371664864
1.60429741224e-14,29400979.943207633,17981.320740707688
1.66369383624e-14,29376714.64834963,18347.162588328378
1.72309026024e-14,29349974.378928997,18742.955109216407
1.78248668424e-14,29328518.754362237,19120.76518023151
1.84188310824e-14,29311917.981030654,19351.39559216229
1.90127953224e-14,29291258.21595239,19581.81405499995
1.96067595624e-14,29266396.624071587,20399.09886625067
2.02007238024e-14,29241522.414716277,20907.80465257809
2.07946880424e-14,29216535.914762884,21221.12142137244
2.13886522824e-14,29195882.167427056,21448.53285414841
2.19826165224e-14,29171040.981406532,21663.577303722723
2.25765807624e-14,29147961.31341789,21995.62148521119
2.31705450024e-14,29125767.48183091,22277.20365171978
2.37645092424e-14,29098333.609714676,22898.818210978032
2.43584734824e-14,29075553.98713317,23231.75341766495
2.49524377224e-14,29054973.127270367,23297.70977474864
2.55464019624e-14,29033326.39536115,23460.880345601105
2.61403662024e-14,29012382.678603556,23712.937351312597
2.67343304424e-14,28991834.559880294,23937.42000058071
2.73282946824e-14,28968226.890309554,24298.42914865071
2.79222589224e-14,28948973.532728396,24611.611282055288
2.85162231624e-14,28931245.45538092,24664.77216038038
2.91101874024e-14,28905906.417729303,24954.57484512073
2.97041516424e-14,28887089.532422278,25067.965133917387
3.02981158824e-14,28862188.08879604,25324.567514954673
3.08920801224e-14,28841876.778529372,25673.88339631876
3.14860443624e-14,28814193.701818716,26066.04395274797
3.20800086024e-14,28792917.489835586,26441.493258558225
3.26739728424e-14,28771307.893065862,26668.382237921112
3.32679370824e-14,28751577.231045064,26775.400683756467
3.38619013224e-14,28724238.753664404,27270.73280756289
3.44558655624e-14,28701124.051923852,27413.480870154875
3.50498298024e-14,28675655.755976547,27646.500157079492
3.56437940424e-14,28653712.108227644,27722.05662386207
3.62377582824e-14,28635817.98559222,27725.600513268164
3.68317225224e-14,28612590.762214947,27799.738585814244
3.74256867624e-14,28587318.737000335,28227.47304752044
3.80196510024e-14,28565136.200831328,28465.217180678483
3.86136152424e-14,28543165.993259996,28666.455701393683
3.92075794824e-14,28516065.421871673,29064.695517569406
3.98015437224e-14,28496622.608802307,29249.402609356242
4.0395507962399997e-14,28476297.703711152,29409.031292855318
4.0989472202399997e-14,28454061.653047264,29402.007718549205
4.1583436442399997e-14,28431516.16647007,29555.651892289156
4.2177400682399997e-14,28407421.881713998,29738.79586353019
4.2771364922399996e-14,28387024.625234727,29942.047533803554
4.3365329162399996e-14,28365044.916435476,30093.28152690254
4.3959293402399996e-14,28340345.79628997,30382.721218127317
4.4553257642399996e-14,28308134.732944366,30939.287663061783
4.5147221882399996e-14,28286244.56868936,30971.86351616226
4.5741186122399996e-14,28257537.650393385,31224.313872734663
4.6335150362399996e-14,28222739.678711984,31923.61008384951
4.6929114602399996e-14,28201914.257445,32075.95133265629
4.7523078842399996e-14,28177588.007222567,32237.065620583886
4.8117043082399996e-14,28152887.933748446,32622.105293259905
4.8711007322399996e-14,28130471.324813016,32775.02759624261
4.9304971562399996e-14,28109482.134888355,32885.46358850089
4.9898935802399996e-14,28085746.064173315,33068.53264849422
5.0492900042399995e-14,28063747.40547284,33298.95243532499
5.1086864282399995e-14,28036572.82640422,33653.27396322417
5.1680828522399995e-14,28015473.780223724,33887.00939722245
5.2274792762399995e-14,27995179.119962167,34157.68222512816
5.2868757002399995e-14,27975091.199151445,34376.53309481595
5.3462721242399995e-14,27949976.186569862,34557.11447168345
5.4056685482399995e-14,27928986.615109704,34709.47075697439
5.4650649722399995e-14,27913273.173491914,34704.35640459278
5.5244613962399995e-14,27885571.685798325,34991.92677122317
5.5838578202399995e-14,27855672.52739558,35184.14092794999
5.6432542442399995e-14,27833455.63611404,35393.86745135027
5.70265066824e-14,27809221.71694454,35531.16867059406
5.76204709224e-14,27791418.24332302,35752.98568753888
5.82144351624e-14,27769651.712074213,35828.5868209953
5.88083994024e-14,27746793.45217769,36107.087319242375
5.94023636424e-14,27722805.312296145,36318.533765031
5.99963278824e-14,27700721.312038355,36558.7199477114
6.05902921224e-14,27679643.91372566,36938.364193558176
6.11842563624e-14,27655999.595363867,37035.20483861464
6.17782206024e-14,27632238.753845975,37550.75768111914
6.23721848424e-14,27609892.174566355,37736.04709310894
6.29661490824e-14,27586155.71957684,38076.494744001604
6.35601133224e-14,27563302.542094164,38377.9730936137
6.415407756239999e-14,27536833.834670022,38532.591840893794
6.47480418024e-14,27516636.701017484,38626.10556831676
6.534200604239999e-14,27486461.388115235,39044.87750411432
6.59359702824e-14,27464304.705553923,39043.68845582892
6.652993452239999e-14,27442381.71353878,39076.07053557258
6.71238987624e-14,27422743.211684898,39262.62944480412
6.771786300239999e-14,27402282.023405034,39297.60764906973
6.83118272424e-14,27373925.0701099,39704.341265403986
6.890579148239999e-14,27350066.920560233,39957.97395910467
6.94997557224e-14,27329767.471869912,40089.74511618099
7.009371996239999e-14,27304246.05648137,40171.593088197005
7.06876842024e-14,27284087.9090694,40243.06853808368
7.128164844239999e-14,27258100.209099468,40442.91253328958
7.18756126824e-14,27234860.08331349,40654.7547955782
7.246957692239999e-14,27215186.591176286,40997.65827455866
7.30635411624e-14,27193825.15715753,41202.79003542293
7.365750540239999e-14,27173868.874959495,41394.6461689452
7.42514696424e-14,27150932.246494807,41676.2537008633
7.484543388239999e-14,27132605.48202925,41942.72892683221
7.54393981224e-14,27110760.488777656,42020.961392820864
7.603336236239999e-14,27084146.052893177,42142.069207071094
7.66273266024e-14,27059954.519125577,42461.5594854997
7.722129084239999e-14,27029858.13749268,43054.86044054631
7.78152550824e-14,27010710.05271696,43225.64383661909
7.840921932239999e-14,26989764.880094696,43415.22198001407
7.90031835624e-14,26970204.171508063,43714.46658656512
7.959714780239999e-14,26948328.98853502,43897.75006564236
8.01911120424e-14,26923457.456581715,44146.096305039806
8.078507628239999e-14,26901918.485787373,44342.84872311927
8.13790405224e-14,26875386.283421632,44480.41939586945
8.197300476239999e-14,26851882.756281022,44583.4223751049
8.25669690024e-14,26829960.8763086,44631.71100433217
8.316093324239999e-14,26810938.89654769,44676.51648322698
8.37548974824e-14,26788379.894687444,44661.236486655755
8.434886172239999e-14,26768924.187165447,44798.595631330965
8.49428259624e-14,26748757.03304455,44932.958863531516
8.553679020239999e-14,26724422.87694211,45023.002261702284
8.61307544424e-14,26702760.554651506,45423.868734535434
8.672471868239999e-14,26678938.85265539,45356.87298450943
8.73186829224e-14,26660879.814789012,45626.62361139207
8.791264716239999e-14,26633092.29636873,46019.27282868849
8.85066114024e-14,26614235.621302,46116.533514274706
8.910057564239999e-14,26590435.38681815,46218.57228745378
8.96945398824e-14,26565478.062356148,46351.97343907066
9.028850412239999e-14,26545400.84683775,46541.27242968132
9.08824683624e-14,26520069.15178537,46768.62550721886
9.147643260239999e-14,26497416.515112113,46697.81599322675
9.20703968424e-14,26469704.09524105,46982.270961730675
9.266436108239999e-14,26446459.749223296,47361.68257541426
9.32583253224e-14,26422593.50451671,47573.22202629625
9.385228956239999e-14,26402948.484902468,47726.10954742246
9.44462538024e-14,26379870.12438678,47920.04701604747
9.504021804239999e-14,26360891.24360737,48005.34914768702
9.56341822824e-14,26334425.495107986,48224.977044667714
9.622814652239999e-14,26305544.97114737,48509.42146162549
9.68221107624e-14,26280543.8630265,48594.33754354849
9.741607500239999e-14,26255585.57263148,48872.12214424331
9.80100392424e-14,26224940.46308416,49044.72342172674
9.860400348239999e-14,26206637.827584136,49302.56059812983
9.91979677224e-14,26182935.857126813,49627.794425489425
9.979193196239999e-14,26152731.137776393,49746.23846970998
1.003858962024e-13,26130880.01027218,49727.573149900985
1.009798604424e-13,26108710.787626233,49706.95619924019
1.015738246824e-13,26087210.93649035,49719.89296093613
1.021677889224e-13,26063624.245413624,49829.99970682897
1.027617531624e-13,26045458.719945326,49828.982705802
1.033557174024e-13,26025468.845446404,50029.75714440185
1.039496816424e-13,26007081.90067051,50110.80345616909
1.045436458824e-13,25984701.945221093,50126.024439146604
1.051376101224e-13,25953454.21184788,50420.42315572108
1.057315743624e-13,25929111.271086287,50734.65475348958
1.063255386024e-13,25907813.98570802,50915.47388425405
1.069195028424e-13,25882570.33348723,51298.491179187564
1.075134670824e-13,25862663.834981225,51495.19871978588
1.081074313224e-13,25837409.75909269,51840.354368908556
1.087013955624e-13,25821407.781130884,51850.737667219495
1.092953598024e-13,25801172.499050617,51970.046984097324
1.0988932404239999e-13,25776278.55740141,52251.457112003845
1.104832882824e-13,25755273.396405894,52504.1883925885
1.1107725252239999e-13,25727244.381798204,52799.699887484094
1.116712167624e-13,25711325.283302687,52830.89288691571
1.1226518100239999e-13,25686955.53467522,52799.499423709654
1.128591452424e-13,25669948.12811817,52909.35604637525
1.1345310948239999e-13,25639055.46265802,52942.46420141968
1.1404707372239999e-13,25620226.446686745,52957.4132313764
1.146410379624e-13,25596583.58981262,53128.544764657774
1.152350022024e-13,25566858.228879567,53370.77016491541
1.158289664424e-13,25540468.936687432,53583.26826416086
1.1642293068239999e-13,25513695.65654275,53681.888704360965
1.170168949224e-13,25487012.113646515,53856.60204681451
1.176108591624e-13,25460853.44368423,54040.40206836281
1.182048234024e-13,25434898.646055024,54148.67295205759
1.1879878764239999e-13,25414153.664821222,54214.98295040334
1.193927518824e-13,25386270.661758833,54451.854836185514
1.199867161224e-13,25361039.511409756,54913.81752088478
1.205806803624e-13,25337424.160043124,54980.049236643325
1.2117464460239999e-13,25312478.502057504,55134.65538433334
1.217686088424e-13,25292978.7317047,55248.67891079297
1.223625730824e-13,25270981.49961654,55304.78750382299
1.229565373224e-13,25246292.272573624,55435.58389400563
1.2355050156239999e-13,25224601.087693565,55541.557192468616
1.241444658024e-13,25196763.85219694,55728.97392478076
1.247384300424e-13,25176742.63329896,55728.4044592913
1.253323942824e-13,25160459.839313332,55866.16224953783
1.2592635852239999e-13,25139051.605120204,55995.44524943517
1.265203227624e-13,25111126.576646224,56163.591932354335
1.271142870024e-13,25088128.62336006,56303.255795194375
1.277082512424e-13,25070946.569124438,56338.61414309885
1.2830221548239998e-13,25044412.209862214,56819.957026405755
1.288961797224e-13,25023226.832682,57021.134781985245
1.294901439624e-13,25005991.519397087,57209.722847670135
1.300841082024e-13,24985342.910062507,57364.128709331424
1.3067807244239998e-13,24961296.516381614,57494.56757601591
1.312720366824e-13,24941464.23972505,57517.71790658221
1.318660009224e-13,24917175.664735984,57531.399062530465
1.324599651624e-13,24896732.05413589,57606.95940653913
1.3305392940239998e-13,24879109.34282224,57658.13746177128
1.336478936424e-13,24859546.195766803,57680.350008867965
1.342418578824e-13,24837329.29914254,57684.05721495993
1.348358221224e-13,24811210.79392954,57941.19593737362
1.3542978636239998e-13,24789271.607021842,57930.502798896436
1.360237506024e-13,24769988.066623542,57960.026496267295
1.366177148424e-13,24743698.773594916,58065.45018590958
1.372116790824e-13,24720905.195466086,58012.82015517748
1.3780564332239998e-13,24698790.247449584,58214.69029941606
1.383996075624e-13,24677756.67011392,58230.18599834498
1.389935718024e-13,24652021.827671688,58242.347802849545
1.395875360424e-13,24630783.32817267,58264.97589980919
1.4018150028239998e-13,24600174.632731438,58535.26933213409
