time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
1.606027e-15,30005689.633543503,3911.942864605666
1.62208727e-13,30005690.73072969,3911.8918399808426
3.22811427e-13,30005687.816845383,3911.8664762081175
4.83414127e-13,30005689.567722835,3911.866499598746
6.44016827e-13,30005687.48403711,3911.8726640493696
8.04619527e-13,30005687.82146668,3911.8847314070485
9.65222227e-13,30005689.117026985,3911.8263817083803
1.125824927e-12,30005686.734703474,3911.901435914186
1.286427627e-12,30005688.310580157,3911.95093720442
1.447030327e-12,30005687.076380186,3911.9996868507096
1.607633027e-12,30005688.733872965,3912.042704130546
1.768235727e-12,30005688.21617465,3912.108231523104
1.928838427e-12,30005687.26384702,3912.174461783845
2.089441127e-12,30005687.187065423,3912.1277217766215
2.250043827e-12,30005689.27215039,3912.149674039126
2.410646527e-12,30005686.375729028,3912.1576235428743
2.571249227e-12,30005690.116370995,3912.116480199204
2.731851927e-12,30005687.515684456,3911.9808935028173
2.892454627e-12,30005689.087799717,3911.8749698197125
3.053057327e-12,30005688.037252918,3911.7904291141313
3.213660027e-12,30005690.203955397,3911.5966249840462
3.374262727e-12,30005684.68030433,3911.3382856458356
3.534865427e-12,30005688.612764753,3910.98240510321
3.695468127e-12,30005687.80819722,3910.7952944881386
3.856070827e-12,30005685.484387558,3910.2739819735452
4.016673527e-12,30005685.75314857,3910.3200809429204
4.177276227e-12,30005685.947653957,3910.8492104339116
4.337878927e-12,30005683.23177385,3911.1307315484
4.498481627e-12,30005682.7127836,3911.1296372458633
4.659084327e-12,30005683.174654998,3910.953514189089
4.819687027e-12,30005681.819075707,3910.887091713007
4.980289727e-12,30005680.77030231,3910.881824309907
5.140892427e-12,30005680.097321045,3910.805992002013
5.301495127e-12,30005681.476647843,3910.8341496182875
5.462097827e-12,30005681.641171977,3910.8298982619162
5.622700527e-12,30005680.72774485,3910.8471064249825
5.783303227e-12,30005682.022337973,3910.873770608168
5.943905927e-12,30005678.895196237,3910.8957373779454
6.104508627e-12,30005682.218832795,3910.800112260917
6.265111327e-12,30005680.052131724,3910.828072700058
6.425714027e-12,30005676.73359652,3910.810378263242
6.586316727e-12,30005680.882270988,3911.0314380830264
6.746919427e-12,30005679.894536,3911.164566778312
6.907522127e-12,30005678.951826543,3911.25084808233
7.068124827e-12,30005678.53863479,3911.217193368184
7.228727527e-12,30005678.95650008,3911.2532923019244
7.389330227e-12,30005678.24596248,3911.373137058142
7.549932927e-12,30005680.242659654,3911.4169186922754
7.710535627e-12,30005678.369544424,3911.3147448045015
7.871138327e-12,30005678.14081207,3911.3810226685086
8.031741027e-12,30005679.394302048,3911.3203116161794
8.192343727e-12,30005678.4008162,3911.3159612988743
8.352946427e-12,30005678.309742887,3911.3245242802577
8.513549127e-12,30005678.316028867,3911.278095706672
8.674151827e-12,30005680.01988994,3911.2775929619897
8.834754527e-12,30005678.85032742,3911.288509841131
8.995357227e-12,30005679.86535814,3911.199890056001
9.155959927e-12,30005681.58587735,3911.229184806373
9.316562627e-12,30005679.677783996,3911.147107136614
