time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
5.9396424e-18,29991112.775290072,19680.119966147675
5.999038824e-16,29923439.92667309,62484.861506432695
1.1938681224e-15,29909917.400279813,72563.26901603614
1.7878323623999997e-15,29891880.98637944,73161.14211742627
2.3817966024e-15,29867706.862696506,73113.58096852984
2.9757608424e-15,29852280.182790853,74284.26312725872
3.5697250823999995e-15,29851783.08537505,73643.35436156784
4.1636893223999994e-15,29703399.147224378,108666.07202490247
4.7576535624e-15,29682857.361332994,109528.15760912416
5.3516178024e-15,29665380.223772056,109045.81649824702
5.9455820424e-15,29625389.74657411,115174.74700399514
6.5395462824e-15,29621402.44975787,115415.28022669996
7.1335105224e-15,29620099.309612982,115370.21072633682
7.7274747624e-15,29618278.795808084,115493.379464516
8.3214390024e-15,29562276.120977562,115010.95339999357
8.9154032424e-15,29552523.312658146,114954.43610858318
9.5093674824e-15,29528028.536555048,114196.75304941008
1.01033317224e-14,29475624.80854972,126036.37434689877
1.06972959624e-14,29462056.475155868,125834.99569767508
1.12912602024e-14,29447683.431117866,127888.97598013817
1.1885224442399999e-14,29442455.704549883,127807.8787178556
1.2479188682399999e-14,29418692.95440883,129392.71135841987
1.3073152922399999e-14,29409059.33108975,128063.43263026663
1.3667117162399999e-14,29396072.473508947,126852.86713643017
1.42610814024e-14,29385834.070047818,126593.87895644433
1.48550456424e-14,29367183.493562855,124806.12522608596
1.54490098824e-14,29337960.649251558,123351.19161888465
1.60429741224e-14,29330253.56292635,124027.74738524013
1.66369383624e-14,29293201.370415494,122194.20243140578
1.72309026024e-14,29263878.137429826,123856.16298757696
1.78248668424e-14,29240308.232139036,124044.65400335041
1.84188310824e-14,29243573.791423794,123505.05122852011
1.90127953224e-14,29211778.180805434,124689.85519107927
1.96067595624e-14,29167971.630835492,126356.3412230583
2.02007238024e-14,29163862.5710398,125008.33994806827
2.07946880424e-14,29157736.516975604,126928.11149931127
2.13886522824e-14,29152369.886113923,126296.38701704436
2.19826165224e-14,29148556.488138538,127080.110086899
2.25765807624e-14,29064424.112926353,142638.95958491106
2.31705450024e-14,29051626.387895454,141443.4062867037
2.37645092424e-14,29044982.418174263,140960.56155963545
2.43584734824e-14,29043296.922509626,140854.51135390566
2.49524377224e-14,28982864.879229426,146500.7169031325
2.55464019624e-14,28942210.66688424,161942.27347433806
2.61403662024e-14,28925539.688175034,163334.86616035932
2.67343304424e-14,28916623.384326387,164521.12289002715
2.73282946824e-14,28852929.2635154,189793.4558264533
2.79222589224e-14,28830295.87596797,189763.58469481888
2.85162231624e-14,28800405.279214073,193990.30787587134
2.91101874024e-14,28791928.239578083,194935.82663837232
2.97041516424e-14,28771108.939284734,192837.44533481225
3.02981158824e-14,28761440.31709135,194775.0573237002
3.08920801224e-14,28750806.710968398,194074.32485252124
3.14860443624e-14,28744009.700555082,193891.455475016
3.20800086024e-14,28733019.48733664,194808.70220995633
3.26739728424e-14,28730383.32157085,194087.88121125146
3.32679370824e-14,28717488.65880553,193724.88951187785
3.38619013224e-14,28693036.345523525,192514.6565042385
3.44558655624e-14,28673777.183044538,196545.88273219758
3.50498298024e-14,28659670.4916165,198443.18307403047
3.56437940424e-14,28645499.77522224,199234.47550472937
3.62377582824e-14,28646164.21769234,199157.31599538692
3.68317225224e-14,28637123.692942906,199266.71780783113
3.74256867624e-14,28625536.19912295,199661.496523573
3.80196510024e-14,28571022.22994875,198937.14230632928
3.86136152424e-14,28552296.021662824,198650.4667974349
3.92075794824e-14,28548470.324233253,198837.55668690114
3.98015437224e-14,28532097.380858544,199242.52575054843
4.0395507962399997e-14,28520690.249619983,197796.25121425316
4.0989472202399997e-14,28501207.66162388,200704.82347618847
4.1583436442399997e-14,28479479.549197383,199018.55431430542
4.2177400682399997e-14,28356620.14043484,197868.87430905117
4.2771364922399996e-14,28340026.35913476,197227.16944040748
4.3365329162399996e-14,28328674.174273737,195820.41734605932
4.3959293402399996e-14,28318856.613232315,196085.58526918935
4.4553257642399996e-14,28299878.05958836,196535.30897569362
4.5147221882399996e-14,28298092.355274882,197478.26606676614
4.5741186122399996e-14,28262872.98562125,201308.9681587111
4.6335150362399996e-14,28232458.495123148,200979.86148395346
4.6929114602399996e-14,28208079.053381912,198855.8164648357
4.7523078842399996e-14,28201001.17988945,200032.24597538097
4.8117043082399996e-14,28197355.358108938,199661.683058677
4.8711007322399996e-14,28177703.820325788,200136.28134177197
4.9304971562399996e-14,28165047.73474871,202997.54266552493
4.9898935802399996e-14,28156277.36196806,203677.45243464477
5.0492900042399995e-14,28150728.511624563,203966.12257125005
5.1086864282399995e-14,28133196.508680962,204233.26469863008
