time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
1.606027e-15,30013457.087573323,12513.318968330213
1.62208727e-13,30013458.4657734,12513.85104273298
3.22811427e-13,30013461.023371607,12514.711212374936
4.83414127e-13,30013458.137481946,12515.084419417139
6.44016827e-13,30013456.434209652,12515.212891054896
8.04619527e-13,30013458.56249167,12515.998116335266
9.65222227e-13,30013466.02894454,12516.078519044779
1.125824927e-12,30013458.62105918,12515.198743442039
1.286427627e-12,30013464.40304686,12516.009187011367
1.447030327e-12,30013450.624816094,12515.149923847595
1.607633027e-12,30013458.19335261,12515.647894083255
1.768235727e-12,30013461.580553543,12515.130257336625
1.928838427e-12,30013463.06675333,12514.946637391238
2.089441127e-12,30013467.409290757,12514.558389238253
2.250043827e-12,30013455.675528947,12513.749964220155
2.410646527e-12,30013455.251592282,12512.463377052916
2.571249227e-12,30013462.46927447,12512.148216802632
2.731851927e-12,30013455.693262983,12510.582163816096
2.892454627e-12,30013459.85687867,12510.069018390803
3.053057327e-12,30013461.302245,12509.057796606887
3.213660027e-12,30013454.128093123,12506.986871088251
3.374262727e-12,30013456.55135882,12506.94703239703
3.534865427e-12,30013460.55055344,12507.67956813578
3.695468127e-12,30013460.185720813,12507.080971472742
3.856070827e-12,30013451.054682974,12507.40246101965
4.016673527e-12,30013455.841037244,12507.989610051065
4.177276227e-12,30013454.75889392,12507.609908493612
4.337878927e-12,30013460.36625216,12508.087845847858
4.498481627e-12,30013457.313258745,12508.24205716795
4.659084327e-12,30013456.092490606,12508.454879819406
4.819687027e-12,30013461.282901343,12509.190774727334
4.980289727e-12,30013457.340678774,12509.365556548357
5.140892427e-12,30013449.688851573,12509.992228975705
5.301495127e-12,30013452.04119525,12510.141157409342
5.462097827e-12,30013448.900618847,12510.26208832275
5.622700527e-12,30013446.704634022,12510.879052351347
5.783303227e-12,30013450.19177246,12510.374240672581
5.943905927e-12,30013447.64438262,12510.755465076278
6.104508627e-12,30013451.485608764,12511.562043045207
6.265111327e-12,30013450.814511046,12511.452992205195
6.425714027e-12,30013454.213529963,12512.435176954063
6.586316727e-12,30013446.93459759,12512.562723207788
6.746919427e-12,30013449.485206656,12513.514209412342
6.907522127e-12,30013452.39043997,12512.926901082055
7.068124827e-12,30013449.556128673,12513.475562766958
7.228727527e-12,30013451.91061849,12514.004868197811
7.389330227e-12,30013455.645991072,12514.363519203964
7.549932927e-12,30013446.800265063,12514.71997846779
7.710535627e-12,30013445.107201133,12514.925265018268
7.871138327e-12,30013443.710193954,12515.24485732718
8.031741027e-12,30013450.279877834,12515.479917135564
8.192343727e-12,30013442.861784104,12515.824747467128
8.352946427e-12,30013446.65411458,12516.16193964447
8.513549127e-12,30013438.018471934,12516.18279699032
8.674151827e-12,30013446.97005151,12516.263540263575
8.834754527e-12,30013442.229910236,12516.034273194815
8.995357227e-12,30013447.527784143,12516.141174482886
9.155959927e-12,30013444.486072164,12516.3717846844
9.316562627e-12,30013446.761041228,12515.111937140196
9.477165327e-12,30013444.112104263,12515.076627490836
9.637768027e-12,30013448.12043417,12514.801771795579
9.798370727e-12,30013448.02210628,12513.761043833361
9.958973427e-12,30013448.5518965,12513.676813810831
1.0119576127e-11,30013443.321725383,12513.91395221368
1.0280178827e-11,30013441.14669384,12513.886090510543
1.0440781527e-11,30013445.25227855,12513.79576919584
1.0601384227e-11,30013451.13044798,12513.637862611035
1.0761986927e-11,30013448.777567767,12513.574328939587
1.0922589627e-11,30013445.605829727,12513.532972934723
1.1083192327e-11,30013446.57083805,12514.204507119035
1.1243795027e-11,30013441.175172783,12513.79212130596
1.1404397727e-11,30013447.450409528,12514.385912411395
1.1565000427e-11,30013446.140448786,12513.780047991993
1.1725603127e-11,30013445.57949693,12512.768886021173
1.1886205827e-11,30013446.74277064,12512.173215575376
1.2046808527e-11,30013447.432675485,12512.33915256688
1.2207411227e-11,30013446.762114298,12512.181568232127
1.2368013927e-11,30013441.524417497,12510.29175746622
1.2528616627e-11,30013445.270012602,12510.438234422016
1.2689219327e-11,30013454.54720094,12510.244534169422
1.2849822027e-11,30013448.852796234,12509.805252685464
1.3010424727e-11,30013455.258059047,12510.229790923457
1.3171027427e-11,30013442.84513729,12509.868404426095
1.3331630127e-11,30013449.255243085,12508.886595601572
1.3492232827e-11,30013445.414553486,12508.596332865947
1.3652835527e-11,30013445.698792253,12509.672220724573
1.3813438227e-11,30013454.257060267,12510.005510807712
1.3974040927e-11,30013453.431213293,12510.103704735307
1.4134643627e-11,30013454.36774267,12510.670076221413
1.4295246327e-11,30013453.69771802,12511.094514912633
1.4455849027e-11,30013450.9708699,12511.065388830031
1.4616451727e-11,30013449.425029535,12511.72252516791
1.4777054427e-11,30013459.42006513,12512.067565909205
1.4937657127e-11,30013456.37835314,12512.152904988583
1.5098259827e-11,30013449.021509614,12512.444874404246
1.5258862527e-11,30013450.638808534,12512.86620598465
1.5419465227e-11,30013452.99276182,12511.653865298254
1.5580067927e-11,30013450.944537107,12511.453587991138
1.5740670627e-11,30013447.411185674,12512.169594630077
1.5901273327e-11,30013454.54182141,12511.00023205996
1.6061876027e-11,30013451.40017193,12510.679714896443
