time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
5.9396424e-18,30013381.980286762,12482.59810611014
5.999038824e-16,30000683.04397817,14594.115468053782
1.1938681224e-15,29983520.295124017,15104.903254491244
1.7878323623999997e-15,29970448.983450867,15743.297889859896
2.3817966024e-15,29925595.07500342,24205.393691334913
2.9757608424e-15,29904040.580589682,25308.295709915423
3.5697250823999995e-15,29899261.417131998,25889.98396172016
4.1636893223999994e-15,29884154.89016606,26124.117851746625
4.7576535624e-15,29859940.93659925,29335.378434177772
5.3516178024e-15,29842244.151135482,29943.010886113283
5.9455820424e-15,29834963.038038496,30092.080650101583
6.5395462824e-15,29810658.782742187,31496.421489652806
7.1335105224e-15,29791113.708331198,33866.34462250263
7.7274747624e-15,29780311.94440487,34302.4352495745
8.3214390024e-15,29759017.84795176,34969.47121983661
8.9154032424e-15,29753708.023939744,34777.697593782505
9.5093674824e-15,29729987.71953618,39601.849749131645
1.01033317224e-14,29720039.34850144,40568.31725512394
1.06972959624e-14,29710519.255443856,40373.16278317179
1.12912602024e-14,29688748.586165715,40071.2709999002
1.1885224442399999e-14,29681077.595980886,40199.1787867423
1.2479188682399999e-14,29664980.13245163,40006.72369324602
1.3073152922399999e-14,29654905.306005873,39895.73566069487
1.3667117162399999e-14,29596833.068795614,48003.02130106122
1.42610814024e-14,29585981.240188707,48857.21794257899
1.48550456424e-14,29549677.673387505,52119.38949165207
1.54490098824e-14,29524232.821068853,51509.823567311876
1.60429741224e-14,29501309.37710765,54144.91527845317
1.66369383624e-14,29484452.154542293,54626.50053485712
1.72309026024e-14,29464144.750301395,55108.190653237594
1.78248668424e-14,29448486.466811948,55405.56385722461
1.84188310824e-14,29429774.147449598,56860.466551461854
1.90127953224e-14,29420823.80289516,56948.82273037607
1.96067595624e-14,29402132.065789703,57103.08231335861
2.02007238024e-14,29388520.579452395,57353.53888788455
2.07946880424e-14,29374754.519274224,57265.246342159284
2.13886522824e-14,29356404.82556578,57535.528438137575
