time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
5.9396424e-18,30005684.839129843,3916.8714851798386
5.999038824e-16,29981640.977219902,5803.516678935215
1.1938681224e-15,29955088.996038925,7106.878916257503
1.7878323623999997e-15,29936296.324927397,7705.240884463018
2.3817966024e-15,29911337.116150845,8499.669683668279
2.9757608424e-15,29897544.323170684,8770.02493590879
3.5697250823999995e-15,29876727.952786908,9284.671402356353
4.1636893223999994e-15,29856972.29655874,9765.458717989513
4.7576535624e-15,29839472.762067657,10001.879407222359
5.3516178024e-15,29820816.796704933,10462.823371650415
5.9455820424e-15,29796330.90837502,11035.353391963401
6.5395462824e-15,29771207.121833,11568.90870477165
7.1335105224e-15,29754316.229906514,11887.478766647157
7.7274747624e-15,29729842.447443757,12434.738601122108
8.3214390024e-15,29705992.406306457,12916.860131953952
8.9154032424e-15,29683918.07360621,13801.647960497965
9.5093674824e-15,29670562.644497238,13865.882633433403
1.01033317224e-14,29654006.451135844,14185.410185118228
1.06972959624e-14,29635690.258901637,14530.845999372765
1.12912602024e-14,29615740.253357537,14837.365827522977
1.1885224442399999e-14,29595863.748441942,15130.880161361234
1.2479188682399999e-14,29573337.552881204,15479.210013453463
1.3073152922399999e-14,29547164.522430647,15884.60469628224
1.3667117162399999e-14,29525693.844745796,16224.270201472602
1.42610814024e-14,29504512.54366214,16656.2165844067
1.48550456424e-14,29484764.370617356,16905.8708857169
1.54490098824e-14,29469110.489335176,17071.832319847123
1.60429741224e-14,29453491.732624512,17174.02142601054
1.66369383624e-14,29433413.440034553,17562.007490426375
1.72309026024e-14,29409266.439966146,17988.42567258373
1.78248668424e-14,29388031.719059523,18434.156236309795
1.84188310824e-14,29364430.619453497,18944.504798850354
1.90127953224e-14,29345297.387489673,19213.9418386753
1.96067595624e-14,29322866.79374353,19663.22338320821
2.02007238024e-14,29299744.470234923,20049.940005694534
2.07946880424e-14,29272996.31098196,20340.355584685974
2.13886522824e-14,29252651.813756008,20554.463292064545
2.19826165224e-14,29235045.094939027,20613.86118991655
2.25765807624e-14,29211086.056907617,21000.771395891563
2.31705450024e-14,29194063.62993446,21281.32233497125
