family,label,condition,parameter_value,n_si,cutoff_lS,n_h,source_file,status,quality_flags,n_snapshots_seen,n_snapshots_kept,n_fit_points,fit_start_index,fit_end_index,fit_start_velocity_cm_s,fit_end_velocity_cm_s,fit_decay_fraction_of_start_velocity,start_time_s,end_time_s,initial_mean_velocity_cm_s,final_mean_velocity_cm_s,final_velocity_sem_cm_s,observed_decay_fraction,amplitude_cm_s,amplitude_sigma_cm_s,tau_s,tau_sigma_s,reduced_chi2,r_squared,wall_time_s,message
box,NSi100,1,100.0,100,2.0,10000,traj_dais_box_NSi100_c1.txt,ok,,1000,1000,285,10,295,29834963.038038496,23834689.5372997,0.2011154997272383,5.9455820424e-15,1.746314262024e-13,29834963.038038496,23834689.5372997,184969.37312663725,0.2011154997272383,30157505.34674409,6476.378846787944,7.66060108052285e-13,2.364908868280121e-15,0.731727131937031,0.9963599999346906,nan,Both `ftol` and `xtol` termination conditions are satisfied.
box,NSi300,1,300.0,300,2.0,30000,traj_dais_box_NSi300_c1.txt,ok,,1000,1000,281,10,291,29784690.10829105,23825154.419405084,0.20008721484824285,5.9455820424e-15,1.722555692424e-13,29784690.10829105,23825154.419405084,117775.20182356084,0.20008721484824288,30042892.76640134,3207.5308220388656,7.631345733706003e-13,1.0281328500893946e-15,0.2869969668234072,0.9991963565170252,nan,Both `ftol` and `xtol` termination conditions are satisfied.
box,NSi1000,1,1000.0,1000,2.0,100000,traj_dais_box_NSi1000_c1.txt,ok,,1000,1000,278,10,288,29796330.90837502,23817616.410231244,0.20065270843341676,5.9455820424e-15,1.704736765224e-13,29796330.90837502,23817616.410231244,59169.54528668909,0.20065270843341676,30098394.57794369,4649.015101134515,7.501643615110072e-13,1.584053048549181e-15,3.0078740118820364,0.9985232492446068,nan,Both `ftol` and `xtol` termination conditions are satisfied.
box,NSi3000,1,3000.0,3000,2.0,300000,traj_dais_box_NSi3000_c1.txt,ok,,574,574,277,10,287,29794301.56986327,23819099.2538648,0.2005484942141536,5.9455820424e-15,1.698797122824e-13,29794301.56986327,23819099.2538648,35674.99034917819,0.20054849421415366,30067615.154258218,3714.569442065321,7.536023216348137e-13,1.2742442871150978e-15,5.2581673115866465,0.9987174036689894,nan,`ftol` termination condition is satisfied.
cutoff,1lS,1,1.0,1000,1.0,100000,traj_dais_cutoff_1lS_c1.txt,ok,,1000,1000,394,10,404,29855464.750154663,23867998.166244566,0.2005484300450918,5.9455820424e-15,2.3937352836239996e-13,29855464.750154663,23867998.166244566,61301.52123292325,0.20054843004509182,30061258.118137207,2009.1484555298234,1.0500983183828253e-12,9.660725155045255e-16,0.7717537840119558,0.9995922936901854,nan,`xtol` termination condition is satisfied.
cutoff,2lS,1,2.0,1000,2.0,100000,traj_dais_cutoff_2lS_c1.txt,ok,,1000,1000,278,10,288,29796330.90837502,23817616.410231244,0.20065270843341676,5.9455820424e-15,1.704736765224e-13,29796330.90837502,23817616.410231244,59169.54528668909,0.20065270843341676,30098394.57794369,4649.015101134515,7.501643615110072e-13,1.584053048549181e-15,3.0078740118820364,0.9985232492446068,nan,Both `ftol` and `xtol` termination conditions are satisfied.
cutoff,3lS,1,3.0,1000,3.0,100000,traj_dais_cutoff_3lS_c1.txt,ok,,1000,1000,260,10,270,29780727.665824063,23811766.304374978,0.20043033966221652,5.9455820424e-15,1.5978232020239999e-13,29780727.665824063,23811766.304374978,62095.157261822096,0.20043033966221646,30088014.95955101,4309.409169335554,7.083796585073253e-13,1.4298980742715915e-15,2.313838748998573,0.9984635525313013,nan,`ftol` termination condition is satisfied.
cutoff,4lS,1,4.0,1000,4.0,100000,traj_dais_cutoff_4lS_c1.txt,ok,,1000,1000,262,10,272,29769570.03907183,23803216.93161528,0.20041784613032226,5.9455820424e-15,1.609702486824e-13,29769570.03907183,23803216.93161528,60708.52904299302,0.2004178461303222,30093662.28257049,6032.782398769731,7.136087822711665e-13,1.9238673929770363e-15,4.3036169207173804,0.9973564425187783,nan,`ftol` termination condition is satisfied.
ratio,NSi30,1,30.0,30,2.0,100000,traj_dais_ratio_NSi30_c1.txt,ok,,1000,1000,265,10,275,29625389.74657411,23687721.839438975,0.2004249718882355,5.9455820424e-15,1.627521414024e-13,29625389.74657411,23687721.839438975,343954.431442764,0.2004249718882355,30036447.725452654,11500.131532556628,7.171043322719508e-13,3.182209945403363e-15,0.3083229663797326,0.9942801050267499,nan,Both `ftol` and `xtol` termination conditions are satisfied.
ratio,NSi100,1,100.0,100,2.0,100000,traj_dais_ratio_NSi100_c1.txt,ok,,1000,1000,265,10,275,29796556.200217906,23828173.594808444,0.20030444341637757,5.9455820424e-15,1.627521414024e-13,29796556.200217906,23828173.594808444,167913.6784180724,0.20030444341637754,30053347.570667464,4995.21761515506,7.296488201070706e-13,1.545450717412569e-15,0.2918401468239117,0.9979069521163995,nan,`ftol` termination condition is satisfied.
ratio,NSi300,1,300.0,300,2.0,100000,traj_dais_ratio_NSi300_c1.txt,ok,,1000,1000,262,10,272,29750907.20378612,23795083.25214181,0.20018965844800748,5.9455820424e-15,1.609702486824e-13,29750907.20378612,23795083.25214181,108081.38680907141,0.2001896584480075,30098696.624149084,6754.044569140331,7.213791278124568e-13,2.144767229404398e-15,1.553984021140953,0.9966319914797263,nan,`ftol` termination condition is satisfied.
ratio,NSi1000,1,1000.0,1000,2.0,100000,traj_dais_ratio_NSi1000_c1.txt,ok,,1000,1000,278,10,288,29796330.90837502,23817616.410231244,0.20065270843341676,5.9455820424e-15,1.704736765224e-13,29796330.90837502,23817616.410231244,59169.54528668909,0.20065270843341676,30098394.57794369,4649.015101134515,7.501643615110072e-13,1.584053048549181e-15,3.0078740118820364,0.9985232492446068,nan,Both `ftol` and `xtol` termination conditions are satisfied.
