time_s,mean_projected_velocity_cm_s,sem_projected_velocity_cm_s
1.606027e-15,29999650.032031037,2259.5787166584278
1.62208727e-13,29999650.249802932,2259.57840394297
3.22811427e-13,29999649.05867671,2259.524754310512
4.83414127e-13,29999648.9158603,2259.535754009525
6.44016827e-13,29999650.07204322,2259.5469532421102
8.04619527e-13,29999649.660929855,2259.547249555047
9.65222227e-13,29999649.61192735,2259.5616010642593
1.125824927e-12,29999648.878678598,2259.570624416615
1.286427627e-12,29999648.028063282,2259.5542608461747
1.447030327e-12,29999648.980569765,2259.564516299039
1.607633027e-12,29999649.97274768,2259.5101046713326
1.768235727e-12,29999648.074271087,2259.417327619259
1.928838427e-12,29999648.34428637,2259.3925916169624
2.089441127e-12,29999648.86116011,2259.4333770455423
2.250043827e-12,29999647.818349835,2259.4606639381454
2.410646527e-12,29999647.24462881,2259.4502655109886
2.571249227e-12,29999648.532005016,2259.4586157494405
2.731851927e-12,29999649.697035182,2259.465801360281
2.892454627e-12,29999648.08942267,2259.446090361218
3.053057327e-12,29999647.034880534,2259.49749130134
3.213660027e-12,29999623.074486196,2260.338608285416
3.374262727e-12,29999623.527850147,2260.348252344268
3.534865427e-12,29999622.31589444,2260.3356152589017
3.695468127e-12,29999622.72215448,2260.3846080508874
3.856070827e-12,29999621.720663846,2260.59440797892
4.016673527e-12,29999621.92994477,2260.694722203049
4.177276227e-12,29999621.59337459,2260.758303650555
4.337878927e-12,29999622.34521443,2260.7795714618837
4.498481627e-12,29999622.200517308,2260.7760748354726
4.659084327e-12,29999621.883236196,2260.8027606915693
4.819687027e-12,29999622.075647198,2260.807286152348
4.980289727e-12,29999621.89897892,2260.8203668139945
5.140892427e-12,29999622.284856584,2260.869897418257
5.301495127e-12,29999622.010434132,2260.8738040934054
5.462097827e-12,29999621.285710715,2260.9251861045896
5.622700527e-12,29999621.902721044,2260.908648805163
5.783303227e-12,29999622.517743826,2260.8971905291864
5.943905927e-12,29999622.369106904,2260.8241595246996
6.104508627e-12,29999621.8705734,2260.7079273656104
6.265111327e-12,29999621.12609451,2260.6556300294137
6.425714027e-12,29999620.405723643,2260.650615733611
6.586316727e-12,29999618.949723028,2260.747887555727
6.746919427e-12,29999619.473600958,2260.96859268812
6.907522127e-12,29999619.99393161,2261.0889314144742
7.068124827e-12,29999619.582370184,2261.150677920979
7.228727527e-12,29999620.21374423,2261.215138433109
7.389330227e-12,29999620.33032199,2261.2025986143385
7.549932927e-12,29999620.8979001,2261.2266597389284
7.710535627e-12,29999620.453759447,2261.262523684556
7.871138327e-12,29999620.55366448,2261.269153789513
8.031741027e-12,29999622.349299196,2261.3268503607837
8.192343727e-12,29999623.105437458,2261.353190786577
8.352946427e-12,29999623.055915356,2261.374234681674
8.513549127e-12,29999622.262148265,2261.411647679318
8.674151827e-12,29999622.19023788,2261.4261862325206
8.834754527e-12,29999621.219032064,2261.4770986553744
8.995357227e-12,29999622.844536748,2261.5446870156184
9.155959927e-12,29999622.01007645,2261.6040654176286
9.316562627e-12,29999621.808800783,2261.6240075774317
9.477165327e-12,29999620.727948446,2261.6269371513404
9.637768027e-12,29999622.034201417,2261.6617167610675
9.798370727e-12,29999621.491125263,2261.6609246213543
9.958973427e-12,29999621.346517567,2261.698806882996
1.0119576127e-11,29999619.73598515,2261.717300654354
1.0280178827e-11,29999620.55049278,2261.74093197827
1.0440781527e-11,29999620.68659256,2261.7786027471107
1.0601384227e-11,29999620.744317602,2261.7734349847938
1.0761986927e-11,29999620.602862306,2261.815587189874
1.0922589627e-11,29999618.986169577,2261.809119296637
1.1083192327e-11,29999620.11622209,2261.7994685491344
1.1243795027e-11,29999618.460968185,2261.7887450892854
1.1404397727e-11,29999621.02966616,2261.786715154143
1.1565000427e-11,29999620.690069243,2261.7443800210845
1.1725603127e-11,29999621.50753254,2261.747051889408
1.1886205827e-11,29999619.89726935,2261.721105109785
1.2046808527e-11,29999618.511833996,2261.721040984955
1.2207411227e-11,29999619.64509163,2261.7579631748577
1.2368013927e-11,29999618.892714784,2261.758412724152
1.2528616627e-11,29999620.026634146,2261.7512217712233
1.2689219327e-11,29999618.167363048,2261.7759294549683
1.2849822027e-11,29999619.248949584,2261.799245913279
1.3010424727e-11,29999619.589460026,2261.820389852531
1.3171027427e-11,29999618.47092333,2261.9192131302234
