at_upper_bound,best_bmax_over_aH,best_bmax_over_aH_sigma,best_bmax_over_debye_length,best_bmax_over_debye_length_sigma,condition,converged,debye_length_m,hydrogen_spacing_m,method,n_function_evals,n_points,reduced_chi2,regime,resolution_rhores_dphires,thermal_velocity_cm_s,vres
False,0.3527613260399713,0.0121454682585382,0.1393551989454648,0.0047979583375946325,0,True,8.654357832221108e-09,3.4188264654548866e-09,vectorized,7,8,1.995564494711273,below_thermal,360,653463.8397306006,101
False,0.5531070630127832,0.20311756528871314,0.21849998600910808,0.08023977298724567,0,True,8.654357832221108e-09,3.4188264654548866e-09,vectorized,5,8,56.29688622841311,above_thermal,360,653463.8397306006,101
False,1.445860866850671,0.11618173095696913,nan,nan,1,True,1.357807368126461e-11,7.3656383363751e-11,vectorized,5,8,47.15510693277158,below_thermal,360,653463.8397306006,101
False,1.6632463579790924,0.09724700851815694,nan,nan,1,True,1.357807368126461e-11,7.3656383363751e-11,vectorized,8,8,2.0058526066208846,above_thermal,360,653463.8397306006,101
False,0.946097899844159,0.04325858944014102,0.20148595249743437,0.009212575250910043,2,True,1.605344937851032e-08,3.4188264654548866e-09,vectorized,4,8,4.6241418864922155,below_thermal,360,2922379.132951301,101
False,1.1518304786785085,0.1249594335395085,0.24529983752246232,0.026612013930476918,2,True,1.605344937851032e-08,3.4188264654548866e-09,vectorized,5,8,8.052931531554494,above_thermal,360,2922379.132951301,101
False,1.5943218438845919,0.017013636534509574,nan,nan,3,True,5.93684049417164e-11,7.3656383363751e-11,vectorized,6,8,0.4924717755046598,below_thermal,360,2922379.132951301,101
False,1.880961257206375,0.039042674902096085,nan,nan,3,True,5.93684049417164e-11,7.3656383363751e-11,vectorized,7,8,0.1913234878066965,above_thermal,360,2922379.132951301,101
